100 200
1 2 7
2 3 7
3 4 2
4 5 0
5 6 7
6 7 9
7 8 1
8 9 4
9 10 8
10 11 9
11 12 9
12 13 9
13 14 5
14 15 9
15 16 0
16 17 8
17 18 8
18 19 4
19 20 9
20 21 2
21 22 6
22 23 2
23 24 8
24 25 3
25 26 9
26 27 7
27 28 4
28 29 1
29 30 7
30 31 9
31 32 8
32 33 6
33 34 2
34 35 6
35 36 6
36 37 6
37 38 6
38 39 4
39 40 9
40 41 1
41 42 7
42 43 9
43 44 4
44 45 9
45 46 6
46 47 9
47 48 7
48 49 8
49 50 5
50 51 5
51 52 3
52 53 8
53 54 5
54 55 7
55 56 3
56 57 2
57 58 5
58 59 9
59 60 8
60 61 9
61 62 9
62 63 8
63 64 9
64 65 7
65 66 8
66 67 4
67 68 4
68 69 0
69 70 0
70 71 1
71 72 8
72 73 5
73 74 2
74 75 9
75 76 2
76 77 0
77 78 4
78 79 8
79 80 7
80 81 6
81 82 5
82 83 8
83 84 1
84 85 2
85 86 1
86 87 9
87 88 3
88 89 5
89 90 2
90 91 7
91 92 0
92 93 2
93 94 1
94 95 2
95 96 3
96 97 0
97 98 1
98 99 6
99 100 6
16 46 1
54 36 5
9 63 8
19 70 9
25 10 3
69 92 9
55 36 5
24 5 2
62 70 5
83 72 9
38 90 8
34 89 5
95 66 10
69 98 2
73 15 8
96 45 5
16 26 5
61 48 10
21 74 6
26 31 10
49 65 5
28 57 8
66 17 5
19 26 1
85 80 3
35 5 9
18 42 10
99 51 9
38 65 8
75 52 1
38 100 3
8 34 9
84 18 9
47 52 3
21 65 7
72 44 9
78 47 1
38 24 6
68 33 8
6 15 7
7 51 4
87 69 1
18 1 9
58 54 8
91 86 2
39 35 3
41 57 10
23 59 1
52 48 4
21 41 4
21 68 10
52 68 10
11 61 1
56 50 1
85 75 10
31 93 4
23 99 10
73 8 10
35 25 5
91 20 6
73 28 5
55 44 7
94 62 7
36 14 2
3 41 3
77 16 5
43 86 2
33 83 6
44 21 4
64 88 3
2 14 4
26 10 2
54 6 8
22 80 7
11 78 2
73 30 6
74 87 10
24 64 6
100 90 6
75 49 5
37 39 10
55 54 1
10 99 9
100 90 5
67 13 5
14 97 9
83 73 4
71 79 1
69 77 4
16 7 8
7 8 2
51 37 10
60 39 5
24 97 9
80 76 2
80 32 10
25 27 1
43 31 4
45 18 10
70 4 9
70 5 3
