100 200
1 2 7
2 3 3
3 4 9
4 5 8
5 6 4
6 7 8
7 8 6
8 9 7
9 10 6
10 11 3
11 12 6
12 13 9
13 14 6
14 15 0
15 16 4
16 17 7
17 18 6
18 19 5
19 20 2
20 21 4
21 22 0
22 23 9
23 24 5
24 25 6
25 26 5
26 27 7
27 28 1
28 29 8
29 30 7
30 31 7
31 32 1
32 33 8
33 34 1
34 35 6
35 36 6
36 37 9
37 38 0
38 39 5
39 40 9
40 41 9
41 42 4
42 43 6
43 44 0
44 45 7
45 46 4
46 47 0
47 48 6
48 49 2
49 50 4
50 51 1
51 52 6
52 53 3
53 54 0
54 55 5
55 56 0
56 57 7
57 58 5
58 59 0
59 60 1
60 61 1
61 62 4
62 63 8
63 64 3
64 65 1
65 66 1
66 67 6
67 68 5
68 69 0
69 70 6
70 71 8
71 72 4
72 73 8
73 74 7
74 75 4
75 76 7
76 77 6
77 78 4
78 79 8
79 80 4
80 81 5
81 82 1
82 83 1
83 84 6
84 85 2
85 86 4
86 87 4
87 88 7
88 89 0
89 90 2
90 91 6
91 92 7
92 93 4
93 94 0
94 95 4
95 96 6
96 97 0
97 98 7
98 99 2
99 100 8
69 3 5
96 81 3
82 44 4
100 21 1
97 60 6
56 85 8
15 94 8
4 67 5
51 21 7
45 64 1
90 53 7
78 55 7
36 69 3
57 52 2
54 5 2
49 51 8
33 81 5
75 79 6
57 10 8
94 75 6
84 90 9
91 58 2
29 11 10
82 97 1
52 64 10
60 53 2
19 65 9
80 11 9
8 4 1
77 77 10
75 15 4
64 81 9
63 65 7
85 30 5
62 16 9
68 75 6
20 77 8
22 60 10
35 6 7
85 73 1
38 7 10
41 38 10
49 50 7
69 38 3
67 33 4
57 64 9
26 79 10
49 80 3
22 93 10
37 98 1
9 19 10
99 93 8
48 8 9
88 77 8
30 62 10
43 48 5
8 23 8
16 86 9
47 90 10
11 91 6
51 5 7
39 11 4
28 80 4
67 41 4
98 70 6
7 90 2
21 89 2
43 37 9
62 88 1
69 98 1
8 19 8
80 44 6
54 55 1
29 73 8
25 31 5
95 52 1
69 50 1
80 35 10
25 8 7
19 50 2
39 97 3
71 49 5
43 95 2
56 2 5
3 2 8
8 97 4
6 64 1
8 43 2
39 94 7
28 23 2
88 37 10
89 33 10
90 25 4
100 94 3
60 49 9
66 67 10
35 9 3
8 88 6
3 63 5
77 15 5
80 48 3
